Aquidauana (Rio Aquidauana): 66945000
Data e hora,Nível,Vazão
2022-03-17T04:00:00.000Z,284,84.7
2022-03-17T04:15:00.000Z,284,84.7
2022-03-17T04:30:00.000Z,284,84.7
2022-03-17T04:45:00.000Z,283,84.1
2022-03-17T05:00:00.000Z,283,84.1
2022-03-17T05:15:00.000Z,282,83.49
2022-03-17T05:30:00.000Z,281,82.89
2022-03-17T05:45:00.000Z,281,82.89
2022-03-17T06:00:00.000Z,280,82.29
2022-03-17T06:15:00.000Z,280,82.29
2022-03-17T06:30:00.000Z,279,81.69
2022-03-17T06:45:00.000Z,279,81.69
2022-03-17T07:00:00.000Z,278,81.09
2022-03-17T07:15:00.000Z,278,81.09
2022-03-17T07:30:00.000Z,277,80.49
2022-03-17T07:45:00.000Z,277,80.49
2022-03-17T08:00:00.000Z,276,79.89
2022-03-17T08:15:00.000Z,275,79.29
2022-03-17T08:30:00.000Z,276,79.89
2022-03-17T08:45:00.000Z,274,78.69
2022-03-17T09:00:00.000Z,274,78.69
2022-03-17T09:15:00.000Z,274,78.69
2022-03-17T09:30:00.000Z,273,78.1
2022-03-17T09:45:00.000Z,273,78.1
2022-03-17T10:00:00.000Z,272,77.5
2022-03-17T10:15:00.000Z,272,77.5
2022-03-17T10:30:00.000Z,272,77.5
2022-03-17T10:45:00.000Z,271,76.91
2022-03-17T11:00:00.000Z,271,76.91
2022-03-17T11:15:00.000Z,270,76.31
2022-03-17T11:30:00.000Z,270,76.31
2022-03-17T11:45:00.000Z,270,76.31
2022-03-17T12:00:00.000Z,269,75.72
2022-03-17T12:15:00.000Z,269,75.72
2022-03-17T12:30:00.000Z,269,75.72
2022-03-17T12:45:00.000Z,269,75.72
2022-03-17T13:00:00.000Z,269,75.72
2022-03-17T13:15:00.000Z,268,75.13
2022-03-17T13:30:00.000Z,268,75.13
2022-03-17T13:45:00.000Z,268,75.13
2022-03-17T14:00:00.000Z,267,74.54
2022-03-17T14:15:00.000Z,267,74.54
2022-03-17T14:30:00.000Z,267,74.54
2022-03-17T14:45:00.000Z,267,74.54
2022-03-17T15:00:00.000Z,266,73.94
2022-03-17T15:15:00.000Z,266,73.94
2022-03-17T15:30:00.000Z,266,73.94
2022-03-17T15:45:00.000Z,265,73.35
2022-03-17T16:00:00.000Z,264,72.76
2022-03-17T16:15:00.000Z,264,72.76
2022-03-17T16:30:00.000Z,264,72.76
2022-03-17T16:45:00.000Z,263,72.18
2022-03-17T17:00:00.000Z,263,72.18
2022-03-17T17:15:00.000Z,263,72.18
2022-03-17T17:30:00.000Z,262,71.59
2022-03-17T17:45:00.000Z,262,71.59
2022-03-17T18:00:00.000Z,262,71.59
2022-03-17T18:15:00.000Z,261,71
2022-03-17T18:30:00.000Z,261,71
2022-03-17T18:45:00.000Z,260,70.42
2022-03-17T19:00:00.000Z,260,70.42
2022-03-17T19:15:00.000Z,259,69.83
2022-03-17T19:30:00.000Z,259,69.83
2022-03-17T19:45:00.000Z,259,69.83
2022-03-17T20:00:00.000Z,258,69.25
2022-03-17T20:15:00.000Z,258,69.25
2022-03-17T20:30:00.000Z,257,68.66
2022-03-17T20:45:00.000Z,257,68.66
2022-03-17T21:00:00.000Z,257,68.66
2022-03-17T21:15:00.000Z,256,68.08
2022-03-17T21:30:00.000Z,256,68.08
2022-03-17T21:45:00.000Z,256,68.08
2022-03-17T22:00:00.000Z,255,67.5
2022-03-17T22:15:00.000Z,255,67.5
2022-03-17T22:30:00.000Z,254,66.92
2022-03-17T22:45:00.000Z,254,66.92
2022-03-17T23:00:00.000Z,253,66.34
2022-03-17T23:15:00.000Z,253,66.34
2022-03-17T23:30:00.000Z,252,65.76
2022-03-17T23:45:00.000Z,252,65.76
2022-03-18T00:00:00.000Z,251,65.18
2022-03-18T00:15:00.000Z,250,64.6
2022-03-18T00:30:00.000Z,250,64.6
2022-03-18T00:45:00.000Z,249,64.02
2022-03-18T01:00:00.000Z,249,64.02
2022-03-18T01:15:00.000Z,249,64.02
2022-03-18T01:30:00.000Z,248,63.45
2022-03-18T01:45:00.000Z,248,63.45
2022-03-18T02:00:00.000Z,247,62.87
2022-03-18T02:15:00.000Z,247,62.87
2022-03-18T02:30:00.000Z,247,62.87
2022-03-18T02:45:00.000Z,246,62.3
2022-03-18T03:00:00.000Z,246,62.3
2022-03-18T03:15:00.000Z,246,62.3
2022-03-18T03:30:00.000Z,245,61.73
2022-03-18T03:45:00.000Z,245,61.73
2022-03-18T04:00:00.000Z,244,61.15
2022-03-18T04:15:00.000Z,244,61.15
2022-03-18T04:30:00.000Z,243,60.58
2022-03-18T04:45:00.000Z,243,60.58
2022-03-18T05:00:00.000Z,243,60.58
2022-03-18T05:15:00.000Z,243,60.58
2022-03-18T05:30:00.000Z,242,60.01
2022-03-18T05:45:00.000Z,242,60.01
2022-03-18T06:00:00.000Z,242,60.01
2022-03-18T06:15:00.000Z,241,59.44
2022-03-18T06:30:00.000Z,241,59.44
2022-03-18T06:45:00.000Z,241,59.44
2022-03-18T07:00:00.000Z,240,58.88
2022-03-18T07:15:00.000Z,240,58.88
2022-03-18T07:30:00.000Z,240,58.88
2022-03-18T07:45:00.000Z,239,58.31
2022-03-18T08:00:00.000Z,240,58.88
2022-03-18T08:15:00.000Z,239,58.31
2022-03-18T08:30:00.000Z,239,58.31
2022-03-18T08:45:00.000Z,238,57.74
2022-03-18T09:00:00.000Z,238,57.74
2022-03-18T09:15:00.000Z,238,57.74
2022-03-18T09:30:00.000Z,237,57.18
2022-03-18T09:45:00.000Z,237,57.18
2022-03-18T10:00:00.000Z,237,57.18
2022-03-18T10:15:00.000Z,237,57.18
2022-03-18T10:30:00.000Z,236,56.61
2022-03-18T10:45:00.000Z,236,56.61
2022-03-18T11:00:00.000Z,236,56.61
2022-03-18T11:15:00.000Z,236,56.61
2022-03-18T11:30:00.000Z,236,56.61
2022-03-18T11:45:00.000Z,235,56.05
2022-03-18T12:00:00.000Z,235,56.05
2022-03-18T12:15:00.000Z,235,56.05
2022-03-18T12:30:00.000Z,235,56.05
2022-03-18T12:45:00.000Z,235,56.05
2022-03-18T13:00:00.000Z,234,55.48
2022-03-18T13:15:00.000Z,234,55.48
2022-03-18T13:30:00.000Z,234,55.48
2022-03-18T13:45:00.000Z,234,55.48
2022-03-18T14:00:00.000Z,234,55.48
2022-03-18T14:15:00.000Z,234,55.48
2022-03-18T14:30:00.000Z,234,55.48
2022-03-18T14:45:00.000Z,233,54.92
2022-03-18T15:00:00.000Z,233,54.92
2022-03-18T15:15:00.000Z,233,54.92
2022-03-18T15:30:00.000Z,233,54.92
2022-03-18T15:45:00.000Z,233,54.92
2022-03-18T16:00:00.000Z,232,54.36
2022-03-18T16:15:00.000Z,233,54.92
2022-03-18T16:30:00.000Z,232,54.36
2022-03-18T16:45:00.000Z,232,54.36
2022-03-18T17:00:00.000Z,232,54.36
2022-03-18T17:15:00.000Z,232,54.36
2022-03-18T17:30:00.000Z,231,53.8
2022-03-18T17:45:00.000Z,231,53.8
2022-03-18T18:00:00.000Z,231,53.8
2022-03-18T18:15:00.000Z,231,53.8
2022-03-18T18:30:00.000Z,231,53.8
2022-03-18T18:45:00.000Z,230,53.24
2022-03-18T19:00:00.000Z,230,53.24
2022-03-18T19:15:00.000Z,230,53.24
2022-03-18T19:30:00.000Z,230,53.24
2022-03-18T19:45:00.000Z,230,53.24
2022-03-18T20:00:00.000Z,229,52.68
2022-03-18T20:15:00.000Z,229,52.68
2022-03-18T20:30:00.000Z,229,52.68
2022-03-18T20:45:00.000Z,229,52.68
2022-03-18T21:00:00.000Z,229,52.68
2022-03-18T21:15:00.000Z,228,52.13
2022-03-18T21:30:00.000Z,228,52.13
2022-03-18T21:45:00.000Z,228,52.13
2022-03-18T22:00:00.000Z,228,52.13
2022-03-18T22:15:00.000Z,227,51.57
2022-03-18T22:30:00.000Z,228,52.13
2022-03-18T22:45:00.000Z,227,51.57
2022-03-18T23:00:00.000Z,227,51.57
2022-03-18T23:15:00.000Z,227,51.57
2022-03-18T23:30:00.000Z,227,51.57
2022-03-18T23:45:00.000Z,226,51.02
2022-03-19T00:00:00.000Z,226,51.02
2022-03-19T00:15:00.000Z,226,51.02
2022-03-19T00:30:00.000Z,226,51.02
2022-03-19T00:45:00.000Z,226,51.02
2022-03-19T01:00:00.000Z,225,50.46
2022-03-19T01:15:00.000Z,225,50.46
2022-03-19T01:30:00.000Z,225,50.46
2022-03-19T01:45:00.000Z,225,50.46
2022-03-19T02:00:00.000Z,225,50.46
2022-03-19T02:15:00.000Z,225,50.46
2022-03-19T02:30:00.000Z,224,49.91
2022-03-19T02:45:00.000Z,224,49.91
2022-03-19T03:00:00.000Z,224,49.91
2022-03-19T03:15:00.000Z,224,49.91
2022-03-19T03:30:00.000Z,224,49.91
2022-03-19T03:45:00.000Z,224,49.91
2022-03-19T04:00:00.000Z,223,49.36
2022-03-19T04:15:00.000Z,223,49.36
2022-03-19T04:30:00.000Z,223,49.36
2022-03-19T04:45:00.000Z,223,49.36
2022-03-19T05:00:00.000Z,223,49.36
2022-03-19T05:15:00.000Z,223,49.36
2022-03-19T05:30:00.000Z,223,49.36
2022-03-19T05:45:00.000Z,222,48.81
2022-03-19T06:00:00.000Z,222,48.81
2022-03-19T06:15:00.000Z,222,48.81
2022-03-19T06:30:00.000Z,222,48.81
2022-03-19T06:45:00.000Z,222,48.81
2022-03-19T07:00:00.000Z,222,48.81
2022-03-19T07:15:00.000Z,222,48.81
2022-03-19T07:30:00.000Z,222,48.81
2022-03-19T07:45:00.000Z,221,48.26
2022-03-19T08:00:00.000Z,221,48.26
2022-03-19T08:15:00.000Z,221,48.26
2022-03-19T08:30:00.000Z,221,48.26
2022-03-19T08:45:00.000Z,221,48.26
2022-03-19T09:00:00.000Z,221,48.26
2022-03-19T09:15:00.000Z,221,48.26
2022-03-19T09:30:00.000Z,221,48.26
2022-03-19T09:45:00.000Z,221,48.26
2022-03-19T10:00:00.000Z,221,48.26
2022-03-19T10:15:00.000Z,220,47.71
2022-03-19T10:30:00.000Z,221,48.26
2022-03-19T10:45:00.000Z,220,47.71
2022-03-19T11:00:00.000Z,220,47.71
2022-03-19T11:15:00.000Z,220,47.71
